,algorithm,dataset,datasize,clscnt,fcnt,runtime_ms_iter,runtime_ms,iterno,numlocal,m,vmi,ami,ari
1,PCM,wine,10000,3,2,32.38505041095573,2299.3385791778564,71,5,2,0.6413,0.6375,0.5821
2,PCM,breast,10000,2,2,21.143160614312865,2156.602382659912,102,5,2,0.5556,0.555,0.6666
3,PCM,ionosphere,10000,2,2,18.38433426038354,2077.42977142334,113,5,2,0.2162,0.2144,0.1139
4,PCM,iris,10000,3,2,6.4281562100286065,1182.7807426452637,184,5,2,0.6431,0.6386,0.6211
5,FCM,wine,10000,3,2,3.791010856628418,947.7527141571045,250,5,2,0.7477,0.7451,0.7405
6,FCM,breast,10000,2,2,4.512832429673937,1015.3872966766357,225,5,2,0.6252,0.6247,0.7431
7,FCM,ionosphere,10000,2,2,3.5268238612583707,715.9452438354492,203,5,2,0.1314,0.1295,0.1682
8,FCM,iris,10000,3,2,5.111804102907087,1032.5844287872314,202,5,2,0.7629,0.7599,0.7184
9,SPCM,wine,10000,3,2,13.514726812189275,6689.789772033691,495,5,2,0.0,-0.0,0.0
10,SPCM,breast,10000,2,2,13.473975056349628,6669.617652893066,495,5,2,0.4142,0.4135,0.4149
11,SPCM,ionosphere,10000,2,2,15.378795488916262,7612.50376701355,495,5,2,0.0,-0.0,0.0
12,SPCM,iris,10000,3,2,8.701334577618223,4307.1606159210205,495,5,2,0.7337,0.7316,0.5681
13,PFCM,wine,10000,3,2,5.207379659016927,31.244277954101562,6,5,2,0.4769,0.47,0.3722
14,PFCM,breast,10000,2,2,23.437142372131348,46.874284744262695,2,5,2,0.6436,0.6431,0.7497
15,PFCM,ionosphere,10000,2,2,15.622218449910482,46.866655349731445,3,5,2,0.1286,0.1267,0.1636
16,PFCM,iris,10000,3,2,3.7477998172535614,63.71259689331055,17,5,2,0.7004,0.6967,0.6765
17,WPCM,wine,10000,3,2,6.224011120043303,1655.5869579315186,266,5,2,0.8387,0.837,0.8788
18,WPCM,breast,10000,2,2,8.789624923314804,1371.1814880371094,156,5,2,0.6144,0.6138,0.7055
19,WPCM,ionosphere,10000,2,2,4.724180112119581,1152.6999473571777,244,5,2,0.1976,0.1958,0.1618
20,WPCM,iris,10000,3,2,3.1987253252092422,1065.1755332946777,333,5,2,0.6659,0.6618,0.6303
21,HCM,wine,10000,3,2,2.0832029978434243,156.24022483825684,75,5,2,0.8926,0.8914,0.9149
22,HCM,breast,10000,2,2,2.6725969816509045,203.11737060546875,76,5,2,0.5666,0.566,0.6889
23,HCM,ionosphere,10000,2,2,3.348078046526228,234.36546325683594,70,5,2,0.1342,0.1323,0.1729
24,HCM,iris,10000,3,2,2.231875244452029,109.36188697814941,49,5,2,0.6728,0.6687,0.641
