,algorithm,dataset,datasize,clscnt,fcnt,runtime,iterno,numlocal,vmi,ami,ari
1,PCM,iris,10000,3,2,0.14061832427978516,1000,,0.6431,0.6386,0.6211
2,PCM,wine,10000,3,2,0.14061617851257324,1000,,0.8326,0.8308,0.8488
3,PCM,breast,10000,2,2,0.20311498641967773,1000,,0.5413,0.5407,0.655
4,PCM,ionosphere,10000,2,2,0.29686403274536133,1000,,0.4643,0.4636,0.5158
5,PCM,C100D500K,50000,10,2,834.5898897647858,1000,,0.7294,0.7293,0.4663
6,FCM,iris,10000,3,2,0.07811427116394043,1000,,0.594,0.5889,0.5638
7,FCM,wine,10000,3,2,0.09374523162841797,1000,,0.4079,0.4015,0.2979
8,FCM,breast,10000,2,2,0.15624499320983887,1000,,0.6709,0.6705,0.7804
9,FCM,ionosphere,10000,2,2,0.15624213218688965,1000,,0.3831,0.3822,0.4899
10,FCM,C100D500K,50000,10,2,546.7915110588074,1000,,0.9237,0.9237,0.8743
11,SPCM,iris,10000,3,2,1.8593034744262695,100,,0.671,0.6669,0.6575
12,SPCM,wine,10000,3,2,1.4530718326568604,100,,0.8344,0.8327,0.864
13,SPCM,breast,10000,2,2,1.6718113422393799,100,,0.4319,0.4312,0.4427
14,SPCM,ionosphere,10000,2,2,1.6561882495880127,100,,0.4319,0.4312,0.4427
15,SPCM,C100D500K,50000,10,2,67884.25674295425,100,,0.3981,0.3979,0.1079
16,PFCM,iris,10000,3,2,0.01562190055847168,100,,0.6907,0.6869,0.6643
17,PFCM,wine,10000,3,2,0.015623092651367188,100,,0.5553,0.5503,0.4656
18,PFCM,breast,10000,2,2,0.0,100,,0.5588,0.5582,0.6779
19,PFCM,ionosphere,10000,2,2,0.0,100,,0.5534,0.5528,0.6721
20,PFCM,C100D500K,50000,10,2,0.9843380451202393,100,,0.5471,0.547,0.2599
21,WPCM,iris,10000,3,2,0.17186617851257324,1000,,0.6363,0.6317,0.6107
22,WPCM,wine,10000,3,2,0.21873903274536133,1000,,0.8469,0.8452,0.8642
23,WPCM,breast,10000,2,2,0.281238317489624,1000,,0.597,0.5965,0.706
24,WPCM,ionosphere,10000,2,2,0.2656111717224121,1000,,0.4925,0.4918,0.5623
25,WPCM,C100D500K,50000,10,2,6039.135701656342,1000,,0.8698,0.8698,0.7473
