,algorithm,dataset,datasize,clscnt,fcnt,runtime_ms_iter,runtime_ms,iterno,numlocal,vmi,ami,ari
1,PCM,iris,10000,3,2,0.7899731732486339,140.61522483825684,178,,0.667,0.6628,0.6306
2,PCM,wine,10000,3,2,1.8600537663414365,156.24451637268066,84,,0.8326,0.8308,0.8488
3,PCM,breast,10000,2,2,2.7304482691496323,281.2361717224121,103,,0.5002,0.4995,0.5729
4,PCM,ionosphere,10000,2,2,2.0516857956395005,203.11689376831055,99,,0.0,-0.0026,0.0005
5,FCM,iris,10000,3,2,0.7352618610157686,124.99451637268066,170,,0.6275,0.6227,0.6014
6,FCM,wine,10000,3,2,0.6537437438964844,156.24475479125977,239,,0.5515,0.5464,0.4641
7,FCM,breast,10000,2,2,0.898743097761036,203.11594009399414,226,,0.5428,0.5422,0.6606
8,FCM,ionosphere,10000,2,2,0.930032559803554,156.24547004699707,168,,0.1188,0.1169,0.1543
9,SPCM,iris,10000,3,2,3.2469168305397034,519.5066928863525,160,,0.671,0.6669,0.6575
10,SPCM,wine,10000,3,2,2.9237917491367886,409.3308448791504,140,,0.8344,0.8327,0.864
11,SPCM,breast,10000,2,2,5.728967984517415,515.6071186065674,90,,0.4319,0.4312,0.4427
12,SPCM,ionosphere,10000,2,2,5.113497647372159,562.4847412109375,110,,0.2441,0.2424,0.1261
13,PFCM,iris,10000,3,2,1.4204220338301226,31.249284744262695,22,,0.7004,0.6967,0.6765
14,PFCM,wine,10000,3,2,2.2323131561279297,15.626192092895508,7,,0.4769,0.47,0.3722
15,PFCM,breast,10000,2,2,10.416428248087565,31.249284744262695,3,,0.5783,0.5777,0.6955
16,PFCM,ionosphere,10000,2,2,0.0,0.0,3,,0.1286,0.1267,0.1636
17,WPCM,iris,10000,3,2,1.1502628677461777,374.9856948852539,326,,0.6431,0.6386,0.6211
18,WPCM,wine,10000,3,2,1.079732809609514,265.61427116394043,246,,0.8469,0.8452,0.8642
19,WPCM,breast,10000,2,2,2.2046931682188817,359.36498641967773,163,,0.5548,0.5542,0.6776
20,WPCM,ionosphere,10000,2,2,1.192202051001859,296.8583106994629,249,,0.0004,-0.0025,0.0049
21,HCM,iris,10000,3,2,0.25611236447193586,15.622854232788086,61,,0.6526,0.6482,0.6101
22,HCM,wine,10000,3,2,0.22001333639655316,15.620946884155273,71,,0.8926,0.8914,0.9149
23,HCM,breast,10000,2,2,0.5122325459464652,31.246185302734375,61,,0.568,0.5674,0.6887
24,HCM,ionosphere,10000,2,2,0.3857995256965543,31.2497615814209,81,,0.1342,0.1323,0.1729
